"product_id","title","current_handle","target_handle","status","needs_change","suspicious_current_handle","german_special_chars","en_global_handle","en_global_handle_outdated","market_specific_en_handles","target_collision_collection","target_collision_store"
"gid://shopify/Product/11015545749842","Fototapete Koi mit Lotusblüten","fototapete-koi-mit-lotusbluten","fototapete-koi-mit-lotusblueten","REVIEW_GLOBAL_EN_HANDLE_AND_BASE","true","false","true","koi-wall-mural-with-lotus-flowers","true","","false","false"
"gid://shopify/Product/11004616278354","Fototapete Schwarzer Marmor mit Goldadern","6-2","fototapete-schwarzer-marmor-mit-goldadern","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11015545225554","Fototapete Traumwal über den Wolken","3-3","fototapete-traumwal-ueber-den-wolken","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11015545094482","Fototapete Korallenrote Blüten","2-2","fototapete-korallenrote-blueten","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11003302379858","Fototapete Türkiser Marmor mit Koralle","15-1","fototapete-tuerkiser-marmor-mit-koralle","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11003300381010","Fototapete Pastell Marmor mit Türkis und Gold","4-1","fototapete-pastell-marmor-mit-tuerkis-und-gold","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002556678482","Fototapete Pastellblumen auf petrolfarbenem Hintergrund","15","fototapete-pastellblumen-auf-petrolfarbenem-hintergrund","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002529055058","Fototapete Schneeberg über den Wolken","base-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie","fototapete-schneeberg-ueber-den-wolken","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/10997724250450","Fototapete Magisches Einhorn mit Herzen und Regenbogen für Mädchenzimmer","fototapete-magisches-einhorn-mit-herzen-und-regenbogen-fur-madchenzimmer","fototapete-magisches-einhorn-mit-herzen-und-regenbogen-fuer-maedchenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/11015546110290","0 BASE","0-base","0-base","CORRECT","false","true","false","","","","false","false"
"gid://shopify/Product/11015545684306","Fototapete Leopard im tropischen Blütenparadies","7-3","fototapete-leopard-im-tropischen-bluetenparadies","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11015545553234","Fototapete Koi in goldenen Wellen","6-3","fototapete-koi-in-goldenen-wellen","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11015545389394","Fototapete Leopardenmuster Beige","5-3","fototapete-leopardenmuster-beige","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11015545356626","Fototapete Jaguar im tropischen Paradies","4-3","fototapete-jaguar-im-tropischen-paradies","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11004617490770","Fototapete Tropische Blätter in Pastell","1-3","fototapete-tropische-blaetter-in-pastell","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11004617130322","Fototapete Beiger Marmor","8-2","fototapete-beiger-marmor","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11004616769874","Fototapete Brauner Marmor mit Goldadern","7-2","fototapete-brauner-marmor-mit-goldadern","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11004616147282","Fototapete Schwarze Betonoptik","5-2","fototapete-schwarze-betonoptik","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11004615950674","Fototapete Weißer Onyx","4-2","fototapete-weisser-onyx","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11004615819602","Fototapete Weißer Carrara Marmor","3-2","fototapete-weisser-carrara-marmor","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11004613787986","Fototapete Strukturputz Beige","1-2","fototapete-strukturputz-beige","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11003302936914","Fototapete Mintfarbener Marmor mit Gold","17","fototapete-mintfarbener-marmor-mit-gold","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11003302642002","Fototapete Weißer Marmor mit Goldadern","16-1","fototapete-weisser-marmor-mit-goldadern","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11003302216018","Fototapete Blauer Marmor mit Goldadern","14-1","fototapete-blauer-marmor-mit-goldadern","NEEDS_CHANGE","true","true","false","","","","false","false"
